_id,username,email,password,role, isApproved,isApproved,__v,mobileNumber,registrationNumber,semester,branch,section,batch,rollNumber
,atharvaqrao,fftestatharvarao@gmail.com,HI,faculty,,TRUE,0,7865478967,2021harman,7,CSE,A,2,71
,qatharvarao0,fftestatharvarao0@gmail.com,HI,faculty,,TRUE,0,7865478967,2021harman,7,CSE,A,2,71
,atharvarao1,atharvarao1@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,A,2,71
,atharvarao2,atharvarao2@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,A,2,71
,atharvarao3,atharvarao3@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,A,2,71
,atharvarao4,atharvarao4@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,A,2,71
,atharvarao5,atharvarao5@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,A,2,71
,Harshiv01,arshiv01@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harshiv02,harshiv022@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harshiv03,arshiv03@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harshiv04,aarshiv04@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harshiv05,Harshiv05@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harman01,Harman01@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harman02,Harman02@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harman03,Harman03@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harman04,Harman04@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
,Harman05,Harman05@gmail.com,HI,student,,TRUE,0,7865478967,2021harman,7,CSE,B,2,71
